model,threshold,AUC,AUPRC,F1,Precision,Recall
Static_LogReg,0.1,0.5960803965652679,0.055394003880959344,0.05542051531356344,0.0285,1.0
Temporal_LogReg,0.1,0.6096288069633683,0.043102815121701554,0.05693950177935943,0.02931937172774869,0.9824561403508771
Multimodal_LogReg,0.1,0.6341703460916831,0.0493431184821785,0.05609382967873534,0.02888655462184874,0.9649122807017544
Multimodal_RF,0.1,0.69762801238815,0.06810011576101879,0.11290322580645161,0.1044776119402985,0.12280701754385964
Static_LogReg,0.2,0.5960803965652679,0.055394003880959344,0.05542051531356344,0.0285,1.0
Temporal_LogReg,0.2,0.6096288069633683,0.043102815121701554,0.06,0.0310407790626902,0.8947368421052632
Multimodal_LogReg,0.2,0.6341703460916831,0.0493431184821785,0.06067961165048544,0.03142677561282212,0.8771929824561403
Multimodal_RF,0.2,0.69762801238815,0.06810011576101879,0.03333333333333333,0.3333333333333333,0.017543859649122806
Static_LogReg,0.3,0.5960803965652679,0.055394003880959344,0.05542051531356344,0.0285,1.0
Temporal_LogReg,0.3,0.6096288069633683,0.043102815121701554,0.06755695208169678,0.03536184210526316,0.7543859649122807
Multimodal_LogReg,0.3,0.6341703460916831,0.0493431184821785,0.0665044606650446,0.03486394557823129,0.7192982456140351
Multimodal_RF,0.3,0.69762801238815,0.06810011576101879,0.0,0.0,0.0
Static_LogReg,0.5,0.5960803965652679,0.055394003880959344,0.07055630936227951,0.03823529411764706,0.45614035087719296
Temporal_LogReg,0.5,0.6096288069633683,0.043102815121701554,0.08881578947368421,0.04900181488203267,0.47368421052631576
Multimodal_LogReg,0.5,0.6341703460916831,0.0493431184821785,0.09572649572649573,0.05303030303030303,0.49122807017543857
Multimodal_RF,0.5,0.69762801238815,0.06810011576101879,0.0,0.0,0.0
Static_LogReg,0.7,0.5960803965652679,0.055394003880959344,0.07476635514018691,0.08,0.07017543859649122
Temporal_LogReg,0.7,0.6096288069633683,0.043102815121701554,0.05581395348837209,0.0379746835443038,0.10526315789473684
Multimodal_LogReg,0.7,0.6341703460916831,0.0493431184821785,0.08620689655172414,0.05714285714285714,0.17543859649122806
Multimodal_RF,0.7,0.69762801238815,0.06810011576101879,0.0,0.0,0.0
Static_LogReg,0.9,0.5960803965652679,0.055394003880959344,0.03225806451612903,0.2,0.017543859649122806
Temporal_LogReg,0.9,0.6096288069633683,0.043102815121701554,0.0,0.0,0.0
Multimodal_LogReg,0.9,0.6341703460916831,0.0493431184821785,0.02666666666666667,0.05555555555555555,0.017543859649122806
Multimodal_RF,0.9,0.69762801238815,0.06810011576101879,0.0,0.0,0.0
