feature,non_sepsis_observed_rate,sepsis_observed_rate,difference_sepsis_minus_nonsepsis
FiO2,0.06839149307830966,0.16989805140656516,0.1015065583282555
Lactate,0.022625516533030177,0.06996715289087453,0.04734163635784436
MAP,0.8593717436122595,0.891118193139978,0.031746449527718434
O2Sat,0.8550085172139044,0.8845637802036178,0.02955526298971345
WBC,0.06339360283171909,0.08456264273418272,0.021169039902463632
HR,0.8877948785056868,0.9087107299559108,0.02091585145022401
DBP,0.6672668368916438,0.6871595926742329,0.01989275578258909
Creatinine,0.06014622260083374,0.07579838774574592,0.015652165144912175
Platelets,0.05892034606235605,0.07418799572695788,0.015267649664601826
Resp,0.8332707818169198,0.8453604306776928,0.012089648860773017
Temp,0.334559471461156,0.34517775858810634,0.010618287126950343
SBP,0.8450698830952305,0.8244993790323438,-0.02057050406288663
