feature,missing_count,total_count,missing_fraction,cohort
EtCO2,194882,194882,1.0,A
TroponinI,194643,194882,0.9987736168553278,A
Bilirubin_direct,194555,194882,0.9983220615551975,A
Fibrinogen,193358,194882,0.9921798832113792,A
Bilirubin_total,192533,194882,0.9879465522726573,A
Alkalinephos,192048,194882,0.9854578668117117,A
AST,191971,194882,0.9850627559240976,A
Lactate,187991,194882,0.9646401412136575,A
PTT,185483,194882,0.9517708151599429,A
Calcium,185321,194882,0.9509395429028848,A
Phosphate,185115,194882,0.9498824929957616,A
SaO2,184990,194882,0.9492410792171673,A
Platelets,182193,194882,0.9348888045073429,A
Creatinine,182064,194882,0.9342268654878336,A
WBC,180201,194882,0.9246672345316653,A
Magnesium,179627,194882,0.9217218624603606,A
HCO3,179146,194882,0.9192537022403301,A
BUN,178961,194882,0.9183044098480105,A
Chloride,178637,194882,0.9166418653338944,A
PaCO2,177554,194882,0.911084656356154,A
Hgb,177479,194882,0.9106998080889974,A
BaseExcess,174220,194882,0.8939768680534887,A
Potassium,173379,194882,0.8896614361511068,A
pH,172188,194882,0.883550045668661,A
Hct,171439,194882,0.8797066943073244,A
Glucose,170682,194882,0.8758222924641578,A
FiO2,167166,194882,0.8577806056998594,A
Temp,128497,194882,0.6593579704641783,A
DBP,94476,194882,0.48478566517174493,A
Unit2,93405,194882,0.4792900319167496,A
Unit1,93405,194882,0.4792900319167496,A
SBP,30265,194882,0.15529910407323405,A
O2Sat,23451,194882,0.1203343561745056,A
MAP,20077,194882,0.10302131546269025,A
Resp,19474,194882,0.09992713539475169,A
HR,15257,194882,0.07828840016009687,A
Age,0,194882,0.0,A
Gender,0,194882,0.0,A
HospAdmTime,0,194882,0.0,A
ICULOS,0,194882,0.0,A
SepsisLabel,0,194882,0.0,A
HCO3,188159,188486,0.9982651231391191,B
BaseExcess,188076,188486,0.9978247721316172,B
Bilirubin_direct,188050,188486,0.9976868308521588,B
Fibrinogen,187413,188486,0.9943072695054275,B
Chloride,187326,188486,0.9938456967626242,B
PTT,186612,188486,0.990057617011343,B
AST,185111,188486,0.9820941608395318,B
Alkalinephos,185091,188486,0.9819880521630253,B
Bilirubin_total,185085,188486,0.9819562195600734,B
Lactate,184975,188486,0.9813726218392878,B
SaO2,184965,188486,0.9813195675010346,B
TroponinI,184944,188486,0.9812081533907028,B
pH,184309,188486,0.9778392029116221,B
PaCO2,184304,188486,0.9778126757424954,B
FiO2,184268,188486,0.9776216801247838,B
Phosphate,182989,188486,0.9708360302621946,B
Magnesium,179527,188486,0.9524686183589232,B
WBC,178608,188486,0.9475929246734506,B
Platelets,178457,188486,0.9467918041658266,B
BUN,178091,188486,0.9448500153857581,B
Creatinine,178079,188486,0.9447863501798542,B
Hct,177539,188486,0.9419214159141793,B
Hgb,177436,188486,0.941374956230171,B
Calcium,175632,188486,0.9318039536092866,B
EtCO2,174833,188486,0.9275649119828528,B
Potassium,174021,188486,0.9232568997166898,B
Glucose,146611,188486,0.7778349585645619,B
Temp,124966,188486,0.662998843415426,B
Unit1,53666,188486,0.2847214116698322,B
Unit2,53666,188486,0.2847214116698322,B
Resp,40271,188486,0.21365512557961863,B
MAP,28243,188486,0.14984136752862282,B
O2Sat,26806,188486,0.1422174591216324,B
DBP,26590,188486,0.1410714854153624,B
SBP,26552,188486,0.1408698789300001,B
HR,23098,188486,0.12254491049733136,B
Age,0,188486,0.0,B
Gender,0,188486,0.0,B
HospAdmTime,0,188486,0.0,B
ICULOS,0,188486,0.0,B
SepsisLabel,0,188486,0.0,B
