feature,missing_count,total_count,missing_fraction
Bilirubin_direct,382605,383368,0.998009745205651
Fibrinogen,380771,383368,0.9932258300118946
TroponinI,379587,383368,0.9901374136599821
Bilirubin_total,377618,383368,0.9850013563990735
Alkalinephos,377139,383368,0.9837519041756224
AST,377082,383368,0.9836032219694915
Lactate,372966,383368,0.9728668016109847
PTT,372095,383368,0.970594833162914
SaO2,369955,383368,0.9650127292836126
EtCO2,369715,383368,0.9643866989420087
Phosphate,368104,383368,0.9601844702739926
HCO3,367305,383368,0.958100310928403
Chloride,365963,383368,0.9545997579349346
BaseExcess,362296,383368,0.9450345360071785
PaCO2,361858,383368,0.9438920306337514
Calcium,360953,383368,0.9415313745539534
Platelets,360650,383368,0.9407410112476785
Creatinine,360143,383368,0.9394185221510403
Magnesium,359154,383368,0.9368387554516809
WBC,358809,383368,0.9359388368356253
BUN,357052,383368,0.9313557730431334
pH,356497,383368,0.9299080778781745
Hgb,354915,383368,0.9257814945431022
FiO2,351434,383368,0.9167014461300891
Hct,348978,383368,0.910295068967676
Potassium,347400,383368,0.9061789194716304
Glucose,317293,383368,0.8276460215771791
Temp,253463,383368,0.6611480353081113
Unit1,147071,383368,0.38362878487510693
Unit2,147071,383368,0.38362878487510693
DBP,121066,383368,0.3157957889025688
Resp,59745,383368,0.1558424281630183
SBP,56817,383368,0.14820485799545086
O2Sat,50257,383368,0.1310933619916112
MAP,48320,383368,0.12604077544291648
HR,38355,383368,0.10004747396757163
Age,0,383368,0.0
Gender,0,383368,0.0
HospAdmTime,0,383368,0.0
ICULOS,0,383368,0.0
SepsisLabel,0,383368,0.0
